"Region; Causes","Number of deaths; 2012; Male; 0-27 days","Number of deaths; 2012; Male; 1-59 months","Number of deaths; 2012; Male; 5-14 years","Number of deaths; 2012; Male; 15-29  years","Number of deaths; 2012; Male; 30-49 years","Number of deaths; 2012; Male; 50-59  years","Number of deaths; 2012; Male; 60-69  years","Number of deaths; 2012; Male; 70+  years","Number of deaths; 2012; Male; All ages (total) years","Number of deaths; 2012; Female; 0-27 days","Number of deaths; 2012; Female; 1-59 months","Number of deaths; 2012; Female; 5-14 years","Number of deaths; 2012; Female; 15-29  years","Number of deaths; 2012; Female; 30-49 years","Number of deaths; 2012; Female; 50-59  years","Number of deaths; 2012; Female; 60-69  years","Number of deaths; 2012; Female; 70+  years","Number of deaths; 2012; Female; All ages (total) years","Number of deaths; 2012; Both sexes; All ages (total) years","Number of deaths; 2000; Male; 0-27 days","Number of deaths; 2000; Male; 1-59 months","Number of deaths; 2000; Male; 5-14 years","Number of deaths; 2000; Male; 15-29  years","Number of deaths; 2000; Male; 30-49 years","Number of deaths; 2000; Male; 50-59  years","Number of deaths; 2000; Male; 60-69  years","Number of deaths; 2000; Male; 70+  years","Number of deaths; 2000; Male; All ages (total) years","Number of deaths; 2000; Female; 0-27 days","Number of deaths; 2000; Female; 1-59 months","Number of deaths; 2000; Female; 5-14 years","Number of deaths; 2000; Female; 15-29  years","Number of deaths; 2000; Female; 30-49 years","Number of deaths; 2000; Female; 50-59  years","Number of deaths; 2000; Female; 60-69  years","Number of deaths; 2000; Female; 70+  years","Number of deaths; 2000; Female; All ages (total) years","Number of deaths; 2000; Both sexes; All ages (total) years"
"Upper-middle-income; All Causes","216251","205875","89375","399257","979285","1085183","1701770","4486876","9163872","165081","166617","67186","216803","613132","682715","1164320","4622515","7698369","16862241","359083","406875","143699","494870","1113322","846631","1516974","4,493,478","9,170,474","278198","328325","104894","282679","642394","531693","1020932","4,631,490","7,707,344","16,877,818"
"Upper-middle-income; Communicable and other Group I","175926","126439","22071","45991","185230","77043","75301","231778","939779","133149","103969","20790","64788","131673","45074","50354","246888","796685","1736464","310149","287924","30984","68892","200589","67686","78639","232,242","940,243","239084","237353","29211","80567","123553","39531","50496","247,512","797,309","1,737,552"
"Upper-middle-income; Infectious and parasitic diseases","8431","59074","16231","37079","165420","57416","42048","58109","443808","6270","52791","15319","45888","106417","32219","26450","49731","335085","778893","13753","123585","21055","58155","180811","53003","49087","58,210","443,909","10638","104022","20180","55723","93773","29324","28605","49,855","335,209","779,118"
"Upper-middle-income; Tuberculosis","16","2100","435","3857","20465","14809","14914","21003","77599","9","1832","571","3711","10251","5918","6384","9833","38509","116108","31","1396","415","10592","46190","21140","24449","21,031","77,627","31","1292","559","8104","22078","8703","10718","9,846","38,522","116,149"
"Upper-middle-income; STDs excluding HIV","1669","1105","115","85","146","106","159","315","3700","1727","1117","194","255","458","246","273","499","4769","8469","2457","1755","340","223","380","194","266","404","6019","2603","1643","441","429","582","275","267","500","4,770","8,470"
"Upper-middle-income; Syphilis","1669","1105","115","85","146","106","159","311","3696","1726","1117","170","13","21","33","60","96","3236","6932","2457","1755","340","222","380","194","266","404","6018","2603","1643","389","18","32","32","52","85","4854","10872"
"Upper-middle-income; Chlamydia","0","0","0","1","0","0","0","3","4","0","0","5","47","79","41","44","74","290","294","0","0","0","0","0","0","0","0","0","0","0","12","82","106","46","45","68","359","359"
"Upper-middle-income; Gonorrhoea","0","0","0","0","0","0","0","1","1","0","0","3","39","58","31","28","56","215","216","0","0","0","1","0","0","0","0","1","0","0","8","58","80","36","33","51","266","267"
"Upper-middle-income; Trichomoniasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Upper-middle-income; Other STDs","0","0","0","0","0","0","0","0","0","0","0","17","156","301","141","142","273","1030","1030","0","0","0","0","0","0","0","0","0","0","0","32","271","363","161","138","274","1,031","1,031"
"Upper-middle-income; HIV/AIDS","69","5961","3456","22777","124872","25087","6802","2242","191266","67","5921","3607","33441","82681","13717","4466","1483","145383","336649","180","16920","1237","29026","105393","14673","4300","2,245","191,269","182","16846","1249","34513","53503","9668","3143","1047","120151","336,652"
"Upper-middle-income; Diarrhoeal diseases","2086","22033","4239","1985","3136","2028","2768","6980","45255","1557","20005","4041","2111","2822","1712","2647","9971","44866","90121","4095","58482","5174","2789","4355","2521","3638","6,996","45,271","2888","48153","4956","2470","3439","2002","3077","10,006","44,901","90,172"
"Upper-middle-income; Childhood-cluster diseases","1595","4726","389","126","134","109","118","145","7342","1108","2777","377","56","61","55","101","200","4735","12077","4019","8133","1219","361","467","224","299","146","7,343","2655","4652","1259","239","314","114","166","315","9714","12,078"
"Upper-middle-income; Whooping cough","107","3207","33","7","13","10","0","0","3377","106","1310","21","3","3","8","0","2","1453","4830","101","3147","100","28","27","13","14","11","3441","100","1232","83","8","18","10","14","38","1503","4944"
"Upper-middle-income; Diphtheria","1","27","25","3","1","1","0","0","58","1","26","18","1","0","0","0","0","46","104","3","89","67","3","2","1","0","6","171","2","79","67","3","1","2","0","0","154","325"
"Upper-middle-income; Measles","0","1461","305","61","5","2","0","0","1834","0","1424","324","38","9","1","10","20","1826","3660","0","4766","916","90","14","6","0","1","5793","0","3264","1066","77","17","3","0","0","4427","10220"
"Upper-middle-income; Tetanus","1487","31","27","55","116","96","118","145","2075","1001","18","15","15","49","47","91","178","1414","3489","3915","131","135","240","423","204","285","276","5609","2553","77","43","152","278","100","151","179","1,415","3,490"
"Upper-middle-income; Meningitis","75","8056","2220","2144","2672","1475","1450","2823","20915","53","7108","2018","1740","1616","1019","1115","2895","17564","38479","281","18035","3169","2900","3041","1349","1370","2,826","20,918","217","13233","2834","2043","1925","797","888","2,896","17,565","38,483"
"Upper-middle-income; Encephalitis","5","482","315","392","483","194","162","301","2334","4","411","270","281","286","133","125","338","1848","4182","27","2793","544","541","518","160","145","217","4945","20","1994","520","348","298","97","118","239","3634","8579"
"Upper-middle-income; Acute hepatitis B","11","202","97","579","4841","6107","6794","6697","25328","4","108","84","436","2237","3803","3985","5586","16243","41571","30","268","238","1699","7863","5827","6300","6,698","25,329","15","190","289","848","3171","2711","3707","5,590","16,247","41,576"
"Upper-middle-income; Acute hepatitis C","0","0","5","42","620","921","726","685","2999","0","0","3","17","281","610","900","1050","2861","5860","0","0","6","54","431","284","286","302","1363","0","0","3","27","187","256","332","1,051","2,862","5,861"
"Upper-middle-income; Parasitic and vector diseases","60","9965","1185","1066","2220","1984","2589","4111","23180","37","10377","1091","922","1763","1710","1992","3748","21640","44820","37","10515","4096","4363","4681","2572","2880","4,121","23,190","24","12006","4275","2811","3120","1880","2126","3,755","21,647","44,837"
"Upper-middle-income; Malaria","0","9562","263","258","289","136","113","203","10824","1","9823","358","225","280","128","141","331","11287","22111","1","9805","229","360","441","180","159","210","11385","2","11372","242","243","301","131","149","332","11,288","22,112"
"Upper-middle-income; Trypanosomiasis","0","3","33","38","18","3","1","0","96","0","4","40","33","19","4","1","1","102","198","0","170","2522","2816","1675","241","62","9","7495","0","205","3065","1717","1227","341","86","16","6657","14152"
"Upper-middle-income; Chagas disease","1","1","2","42","562","826","1064","1815","4313","0","1","1","15","254","534","767","1766","3338","7651","0","3","3","93","935","1161","1251","1,822","4,320","1","2","4","44","475","668","934","1,772","3,344","7,664"
"Upper-middle-income; Schistosomiasis","0","111","2","62","315","257","392","426","1565","0","43","3","31","282","315","365","678","1717","3282","1","31","4","102","644","567","947","1177","3473","0","84","4","92","515","509","702","1274","3180","6653"
"Upper-middle-income; Leishmaniasis","18","134","283","275","283","165","141","239","1538","13","103","204","255","243","109","101","134","1162","2700","26","323","868","675","572","207","194","254","3119","16","212","520","513","326","103","99","134","1923","5042"
"Upper-middle-income; Lymphatic filariasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1"
"Upper-middle-income; Onchocerciasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"Upper-middle-income; Leprosy","0","0","58","11","42","113","256","392","872","0","244","0","6","15","121","11","179","576","1448","0","0","0","19","41","35","53","113","261","0","0","1","9","35","14","14","50","123","384"
"Upper-middle-income; Dengue","41","98","303","246","457","204","240","649","2238","23","98","200","154","328","210","268","351","1632","3870","9","97","122","113","117","52","67","650","2,239","5","67","86","51","67","21","29","352","1,633","3,872"
"Upper-middle-income; Trachoma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Upper-middle-income; Rabies","0","57","242","133","254","281","382","388","1737","0","62","286","204","342","289","338","307","1828","3565","0","84","349","186","257","131","147","127","1281","0","64","352","142","174","93","113","117","1055","2336"
"Upper-middle-income; Intestinal nematode infections","2","80","74","7","7","6","9","26","211","2","69","69","13","15","8","13","31","220","431","6","154","129","17","13","7","10","19","355","6","145","102","24","17","5","13","27","339","694"
"Upper-middle-income; Ascariasis","2","80","74","7","7","6","9","26","211","2","69","69","13","14","8","13","31","219","430","6","154","129","17","11","7","9","18","351","5","145","102","24","17","5","11","27","336","687"
"Upper-middle-income; Trichuriasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Upper-middle-income; Hookworm disease","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","3","0","1","1","5","0","0","0","0","0","0","1","0","1","6"
"Upper-middle-income; Other infectious diseases","2843","4364","3703","4018","5823","4591","5557","12781","43680","1702","3065","2993","2905","3946","3286","4449","14099","36445","80125","2591","5133","4490","5590","7479","4052","5146","12,822","43,721","1999","3869","3695","3868","5141","2817","4051","14,159","36,505","80,226"
"Upper-middle-income; Respiratory infections","11969","46625","3760","6702","16774","17328","29701","157340","290199","8569","34384","3219","5765","11018","10664","20716","176054","270389","560588","25467","132349","7200","8029","16075","12410","25622","157,622","290,481","19660","108458","6409","5823","9821","8122","18414","176,442","270,777","561,258"
"Upper-middle-income; Lower respiratory infections","11874","46152","3708","6654","16664","17236","29530","156954","288772","8497","34037","3195","5705","10936","10623","20623","175463","269079","557851","25365","131664","7151","7975","15979","12349","25503","157,236","289,054","19570","107897","6357","5776","9740","8067","18309","175,851","269,467","558,521"
"Upper-middle-income; Upper respiratory infections","87","433","41","32","69","66","83","349","1160","70","323","17","53","33","26","82","559","1163","2323","90","625","36","29","72","45","108","625","1630","74","506","37","19","53","36","91","560","1,164","2,324"
"Upper-middle-income; Otitis media","8","40","11","16","41","26","88","38","268","3","24","7","8","49","14","11","32","148","416","13","60","14","25","24","15","11","23","185","15","55","15","28","28","18","15","38","212","397"
"Upper-middle-income; Maternal conditions","0","0","0","0","0","0","0","0","0","0","0","51","10885","11128","10","0","0","22074","22074","0","0","0","0","0","0","0","0","0","0","0","46","16413","16225","19","0","0","32703","32703"
"Upper-middle-income; Neonatal conditions","155254","16028","27","20","17","1","17","20","171384","118074","12428","151","9","5","26","2","13","130708","302092","269876","22193","6","3","2","1","0","0","292081","207945","16782","5","1","1","0","0","0","224734","516815"
"Upper-middle-income; Preterm birth complications","61709","8451","1","1","0","0","0","2","70164","51609","6799","0","0","0","0","0","6","58414","128578","113599","10592","0","0","0","0","0","0","124191","91497","8548","0","0","0","0","0","0","100045","224236"
"Upper-middle-income; Birth asphyxia and birth trauma","47650","3512","15","19","6","1","2","14","51219","34693","2486","9","9","4","2","1","2","37206","88425","96782","4145","6","3","2","1","0","0","100939","73357","2699","5","1","1","0","0","0","76063","177002"
"Upper-middle-income; Neonatal sepsis and infections","20952","0","11","1","11","0","15","4","20994","14468","0","142","0","1","24","0","5","14640","35634","34268","0","0","0","0","0","0","0","34268","24235","0","0","0","0","0","0","0","24235","58503"
"Upper-middle-income; Other neonatal conditions","24943","4065","0","0","0","0","0","0","29008","17305","3144","0","0","0","0","0","0","20449","49457","25228","7456","0","0","0","0","0","0","32684","18857","5535","0","0","0","0","0","0","24392","57076"
"Upper-middle-income; Nutritional deficiencies","272","4713","2052","2191","3019","2298","3535","16309","34389","236","4366","2050","2241","3106","2155","3186","21090","38430","72819","1052","9798","2723","2706","3702","2274","3930","16,390","34,470","841","8092","2570","2607","3732","2068","3476","21,202","38,542","73,012"
"Upper-middle-income; Protein-energy malnutrition","244","4236","1630","1337","1891","1296","1921","10224","22779","214","3809","1651","1360","1831","1026","1510","13518","24919","47698","918","8458","1967","1648","2359","1440","2261","10,289","22,844","727","6997","1886","1331","1905","1122","2000","13,611","25,012","47,856"
"Upper-middle-income; Iodine deficiency","0","28","30","58","32","10","12","42","212","0","9","8","56","34","9","11","61","188","400","1","36","7","39","26","9","13","34","165","0","28","5","29","21","6","9","40","138","303"
"Upper-middle-income; Vitamin A deficiency","0","0","0","0","0","0","1","1","2","0","0","0","0","39","2","2","75","118","120","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1"
"Upper-middle-income; Iron-deficiency anaemia","20","336","367","722","978","893","1414","4642","9372","17","430","325","741","1100","1013","1523","5684","10833","20205","101","1009","703","912","1146","702","1467","4,651","9,381","82","818","632","1068","1658","853","1316","5,697","10,846","20,227"
"Upper-middle-income; Other nutritional deficiencies","8","113","26","73","118","98","188","1400","2024","3","118","66","84","103","105","140","1752","2371","4395","33","295","46","107","172","123","190","1,407","2,031","32","248","47","180","149","87","153","1,757","2,376","4,407"
"Upper-middle-income; Noncommunicable diseases","35443","47277","30044","98687","505688","879937","1521319","4103940","7222335","27980","39286","26633","80165","383847","583535","1056133","4228325","6425904","13648239","40315","59029","43800","128680","595478","687100","1356164","4,109,911","7,228,306","31431","47486","36577","94277","395196","450525","926032","4,236,536","6,434,115","13,662,421"
"Upper-middle-income; Malignant neoplasms","0","6792","8836","27197","188663","347109","480650","942187","2001434","0","4938","6468","20651","151908","204315","264959","609991","1263230","3264664","0","8399","14646","36938","227725","250392","366747","943,165","2,002,412","0","6159","10472","22731","138933","134846","195689","611,016","1,264,255","3,266,667"
"Upper-middle-income; Mouth and oropharynx cancers","0","5","143","736","7797","12997","12919","13780","48377","0","4","116","448","2822","3481","4135","7768","18774","67151","0","14","274","934","8275","8606","9481","13,804","48,401","0","7","212","442","2345","2174","2882","7,789","18,795","67,196"
"Upper-middle-income; Oesophagus cancer","0","1","0","224","8220","30904","47315","77012","163676","0","0","0","217","2249","7309","15383","43025","68183","231859","0","0","1","405","10771","25480","40377","77,044","163,708","0","0","1","381","3234","7462","16411","43,047","68,205","231,913"
"Upper-middle-income; Stomach cancer","0","3","5","870","18046","44410","70808","137384","271526","0","1","4","919","10622","17235","27959","79621","136361","407887","0","5","7","1525","27406","40914","66079","137,526","271,668","0","3","6","1085","12662","15168","26148","79,744","136,484","408,152"
