"Region; Causes","Number of deaths; 2012; Male; 0-27 days","Number of deaths; 2012; Male; 1-59 months","Number of deaths; 2012; Male; 5-14 years","Number of deaths; 2012; Male; 15-29  years","Number of deaths; 2012; Male; 30-49 years","Number of deaths; 2012; Male; 50-59  years","Number of deaths; 2012; Male; 60-69  years","Number of deaths; 2012; Male; 70+  years","Number of deaths; 2012; Male; All ages (total) years","Number of deaths; 2012; Female; 0-27 days","Number of deaths; 2012; Female; 1-59 months","Number of deaths; 2012; Female; 5-14 years","Number of deaths; 2012; Female; 15-29  years","Number of deaths; 2012; Female; 30-49 years","Number of deaths; 2012; Female; 50-59  years","Number of deaths; 2012; Female; 60-69  years","Number of deaths; 2012; Female; 70+  years","Number of deaths; 2012; Female; All ages (total) years","Number of deaths; 2012; Both sexes; All ages (total) years","Number of deaths; 2000; Male; 0-27 days","Number of deaths; 2000; Male; 1-59 months","Number of deaths; 2000; Male; 5-14 years","Number of deaths; 2000; Male; 15-29  years","Number of deaths; 2000; Male; 30-49 years","Number of deaths; 2000; Male; 50-59  years","Number of deaths; 2000; Male; 60-69  years","Number of deaths; 2000; Male; 70+  years","Number of deaths; 2000; Male; All ages (total) years","Number of deaths; 2000; Female; 0-27 days","Number of deaths; 2000; Female; 1-59 months","Number of deaths; 2000; Female; 5-14 years","Number of deaths; 2000; Female; 15-29  years","Number of deaths; 2000; Female; 30-49 years","Number of deaths; 2000; Female; 50-59  years","Number of deaths; 2000; Female; 60-69  years","Number of deaths; 2000; Female; 70+  years","Number of deaths; 2000; Female; All ages (total) years","Number of deaths; 2000; Both sexes; All ages (total) years"
"High-income; All Causes","29408","23184","13470","135861","462083","689299","1051259","3569828","5974392","23204","18042","9330","47449","219371","348038","596518","4435017","5696969","11671361","40719","34794","21823","186811","645034","634655","1121701","2975001","5660538","31413","26880","13951","59392","264492","311946","642704","4041517","5392295","11052833"
"High-income; Communicable and other Group I","21001","6926","1324","9727","46214","47393","48336","228405","409326","15928","5328","1220","6386","22255","17192","22747","265366","356422","765748","29201","12264","1927","10130","60241","33699","41215","185897","374574","21750","9391","1690","5874","19500","11163","20439","244839","334646","709220"
"High-income; Infectious and parasitic diseases","457","2397","707","7352","40341","32033","26355","64241","173883","352","1851","604","3554","16809","10944","12824","82126","129064","302947","686","4815","1055","7357","46206","19778","18245","38692","136834","528","3526","997","3261","12779","6244","9887","49551","86773","223607"
"High-income; Tuberculosis","5","11","16","2039","8025","5396","2900","5883","24275","3","17","7","773","1725","816","651","4437","8429","32704","17","27","27","2927","16812","6778","5719","7795","40102","6","47","15","735","2506","928","1292","4971","10500","50602"
"High-income; STDs excluding HIV","22","15","3","9","21","29","30","60","189","24","13","4","16","54","41","69","435","656","845","46","43","9","23","52","36","45","70","324","48","39","12","23","110","49","71","355","707","1031"
"High-income; Syphilis","22","15","3","9","21","29","29","59","187","24","13","4","1","2","5","8","26","83","270","46","43","9","20","49","36","44","69","316","48","39","10","0","6","4","8","39","154","470"
"High-income; Chlamydia","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","3","6","16","16","0","0","0","0","0","0","0","0","0","0","0","0","3","7","3","4","7","24","24"
"High-income; Gonorrhoea","0","0","0","0","0","0","0","1","1","0","0","0","1","3","2","2","6","14","15","0","0","0","3","3","0","1","1","8","0","0","0","4","6","4","2","8","24","32"
"High-income; Trichomoniasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"High-income; Other STDs","0","0","0","0","0","0","0","0","0","0","0","0","13","47","32","57","397","546","546","0","0","0","0","0","0","0","0","0","0","0","1","17","91","38","57","302","506","506"
"High-income; HIV/AIDS","3","171","85","4044","26864","15664","8640","2401","57872","2","251","65","1943","11684","3547","1350","426","19268","77140","9","589","65","2149","21333","5699","2030","475","32349","5","332","69","1124","5924","1057","415","142","9068","41417"
"High-income; Diarrhoeal diseases","5","680","109","140","347","822","1590","11533","15226","5","490","128","101","347","697","1532","19755","23055","38281","9","1427","164","315","800","521","761","2343","6340","8","1021","185","157","441","326","600","4239","6977","13317"
"High-income; Childhood-cluster diseases","26","279","15","9","14","18","9","32","402","25","212","12","4","7","7","7","55","329","731","43","302","64","27","35","28","21","43","563","35","252","63","14","15","14","10","67","470","1033"
"High-income; Whooping cough","12","221","2","2","4","6","0","3","250","13","157","1","0","1","2","0","3","177","427","10","204","7","7","6","6","0","0","240","11","149","5","1","2","3","0","0","171","411"
"High-income; Diphtheria","1","3","3","0","0","1","0","1","9","0","2","2","0","0","1","0","1","6","15","3","7","5","1","1","4","2","2","25","1","7","4","0","1","1","0","2","16","41"
