"Region; Causes","Number of deaths; 2012; Male; 0-27 days","Number of deaths; 2012; Male; 1-59 months","Number of deaths; 2012; Male; 5-14 years","Number of deaths; 2012; Male; 15-29  years","Number of deaths; 2012; Male; 30-49 years","Number of deaths; 2012; Male; 50-59  years","Number of deaths; 2012; Male; 60-69  years","Number of deaths; 2012; Male; 70+  years","Number of deaths; 2012; Male; All ages (total) years","Number of deaths; 2012; Female; 0-27 days","Number of deaths; 2012; Female; 1-59 months","Number of deaths; 2012; Female; 5-14 years","Number of deaths; 2012; Female; 15-29  years","Number of deaths; 2012; Female; 30-49 years","Number of deaths; 2012; Female; 50-59  years","Number of deaths; 2012; Female; 60-69  years","Number of deaths; 2012; Female; 70+  years","Number of deaths; 2012; Female; All ages (total) years","Number of deaths; 2012; Both sexes; All ages (total) years","Number of deaths; 2000; Male; 0-27 days","Number of deaths; 2000; Male; 1-59 months","Number of deaths; 2000; Male; 5-14 years","Number of deaths; 2000; Male; 15-29  years","Number of deaths; 2000; Male; 30-49 years","Number of deaths; 2000; Male; 50-59  years","Number of deaths; 2000; Male; 60-69  years","Number of deaths; 2000; Male; 70+  years","Number of deaths; 2000; Male; All ages (total) years","Number of deaths; 2000; Female; 0-27 days","Number of deaths; 2000; Female; 1-59 months","Number of deaths; 2000; Female; 5-14 years","Number of deaths; 2000; Female; 15-29  years","Number of deaths; 2000; Female; 30-49 years","Number of deaths; 2000; Female; 50-59  years","Number of deaths; 2000; Female; 60-69  years","Number of deaths; 2000; Female; 70+  years","Number of deaths; 2000; Female; All ages (total) years","Number of deaths; 2000; Both sexes; All ages (total) years"
"Low-income; All Causes","435583","737681","288412","384463","559961","316663","409816","764002","3896581","352113","645106","267631","338269","506612","248494","349567","841585","3549377","7445958","519305","1156843","306801","405409","617073","279625","354639","575289","4214984","427990","1030797","294005","402964","581615","232021","310060","632752","3912204","8127188"
"Low-income; Communicable and other Group I","398132","613699","174412","147547","279631","97723","103065","201931","2016140","317864","540186","172916","216543","311473","72908","83897","218019","1933806","3949946","487006","1028427","193682","175432","370851","108090","107677","180275","2651440","398419","927185","200502","297129","424888","90410","91405","187432","2617370","5268810"
"Low-income; Infectious and parasitic diseases","23571","360508","134873","114887","239075","72887","65501","84128","1095430","22416","340601","132601","119059","216975","51780","46899","71939","1002270","2097700","48811","700078","146153","139966","329790","84471","72945","85680","1607894","43141","667102","150969","175509","306243","69421","54713","71480","1538578","3146472"
"Low-income; Tuberculosis","1","19645","3968","7110","37104","26779","34280","42236","171123","0","17006","5188","6286","18800","11711","14698","17925","91614","262737","0","26036","3779","9575","43640","29050","37507","44324","193911","1","21976","4942","8673","23326","14056","17632","19738","110344","304255"
"Low-income; STDs excluding HIV","8589","5268","2267","409","452","167","177","194","17523","9536","4980","2244","502","475","135","121","208","18201","35724","12354","6436","3300","466","537","180","185","188","23646","14021","5893","3430","474","446","119","109","175","24667","48313"
"Low-income; Syphilis","8589","5268","2267","409","452","167","177","194","17523","9536","4980","2136","26","26","20","31","53","16808","34331","12354","6436","3300","466","537","180","185","188","23646","14021","5893","3306","25","24","19","28","46","23362","47008"
"Low-income; Chlamydia","0","0","0","0","0","0","0","0","0","0","0","25","114","103","27","22","36","327","327","0","0","0","0","0","0","0","0","0","0","0","30","104","98","24","19","31","306","306"
"Low-income; Gonorrhoea","0","0","0","0","0","0","0","0","0","0","0","19","82","78","20","15","28","242","242","0","0","0","0","0","0","0","0","0","0","0","20","79","72","17","15","23","226","226"
"Low-income; Trichomoniasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low-income; Other STDs","0","0","0","0","0","0","0","0","0","0","0","65","280","269","68","52","90","824","824","0","0","0","0","0","0","0","0","0","0","0","75","266","252","59","47","75","774","774"
"Low-income; HIV/AIDS","247","24123","29836","41056","141217","19915","5787","1960","264141","239","23977","29381","57045","149910","17358","4955","1643","284508","548649","602","59282","17022","60723","224735","30298","10458","3922","407042","583","58111","16817","112545","237082","32974","9439","3554","471105","878147"
"Low-income; Diarrhoeal diseases","3143","114003","32101","15941","18804","8493","10242","19900","222627","3002","105098","33113","17467","18389","7917","11617","26691","223294","445921","6442","215378","37029","19291","23452","9604","11780","21539","344515","5947","201106","42296","19645","21248","9650","14857","30161","344910","689425"
"Low-income; Childhood-cluster diseases","10387","35915","4754","531","220","153","68","96","52124","8624","36011","5245","597","181","104","51","91","50904","103028","28043","110440","21849","2232","514","277","119","145","163619","21571","106732","24434","2145","392","208","96","150","155728","319347"
"Low-income; Whooping cough","581","12745","519","71","64","45","0","0","14025","573","11546","474","54","43","33","0","0","12723","26748","527","12365","878","101","83","62","0","0","14016","525","10968","866","69","52","47","0","0","12527","26543"
